,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
317, 4 Series,2020,27000.0,Semi-Auto,25.0,Petrol,145.0,48.7,2.0
318, 4 Series,2020,27500.0,Semi-Auto,25.0,Diesel,145.0,60.1,2.0
329, 4 Series,2019,25490.0,Semi-Auto,8794.0,Diesel,145.0,60.1,2.0
335, 2 Series,2019,23950.0,Semi-Auto,4413.0,Diesel,145.0,46.3,2.0
336, 4 Series,2019,26550.0,Semi-Auto,7292.0,Diesel,145.0,58.9,2.0
341, 4 Series,2020,29500.0,Semi-Auto,17.0,Diesel,145.0,60.1,2.0
342, 5 Series,2019,28500.0,Semi-Auto,3816.0,Diesel,145.0,62.8,2.0
343, 5 Series,2019,26000.0,Semi-Auto,4405.0,Petrol,145.0,48.7,2.0
344, X2,2019,27000.0,Manual,4825.0,Diesel,145.0,49.6,2.0
345, 4 Series,2019,27000.0,Semi-Auto,4406.0,Diesel,145.0,60.1,2.0
346, 3 Series,2019,33000.0,Semi-Auto,11564.0,Diesel,145.0,49.6,2.0
347, X2,2019,32000.0,Semi-Auto,10.0,Petrol,145.0,34.0,2.0
359, 1 Series,2019,27000.0,Semi-Auto,1214.0,Diesel,145.0,51.4,2.0
361, 3 Series,2017,19650.0,Semi-Auto,43267.0,Diesel,145.0,62.8,2.0
363, 4 Series,2019,22500.0,Semi-Auto,5623.0,Diesel,145.0,65.7,2.0
378, X1,2017,18998.0,Semi-Auto,26939.0,Diesel,145.0,65.7,2.0
385, 5 Series,2018,24595.0,Semi-Auto,28502.0,Diesel,145.0,65.7,2.0
388, 5 Series,2017,22990.0,Semi-Auto,33492.0,Diesel,145.0,60.1,2.0
390, 4 Series,2018,22595.0,Semi-Auto,18937.0,Petrol,145.0,48.7,2.0
391, 3 Series,2019,27995.0,Semi-Auto,2460.0,Diesel,145.0,53.3,2.0
395, 5 Series,2017,21998.0,Semi-Auto,25260.0,Diesel,145.0,60.1,2.0
398, 1 Series,2017,13798.0,Manual,34446.0,Diesel,145.0,65.7,2.0
406, 3 Series,2019,28000.0,Automatic,6148.0,Diesel,145.0,52.3,2.0
412, 4 Series,2017,17495.0,Manual,13471.0,Petrol,145.0,46.3,2.0
427, 2 Series,2020,36000.0,Semi-Auto,5550.0,Petrol,145.0,36.2,2.0
433, 5 Series,2018,23998.0,Semi-Auto,14052.0,Diesel,145.0,62.8,2.0
434, 3 Series,2019,26498.0,Semi-Auto,21165.0,Diesel,145.0,48.7,2.0
435, 4 Series,2019,21998.0,Semi-Auto,19856.0,Diesel,145.0,65.7,2.0
436, 3 Series,2019,23298.0,Semi-Auto,11974.0,Diesel,145.0,54.3,2.0
438, 2 Series,2018,17500.0,Automatic,6079.0,Diesel,145.0,51.4,2.0
439, 1 Series,2019,16600.0,Manual,7000.0,Diesel,145.0,68.9,2.0
442, X1,2019,25500.0,Automatic,2984.0,Diesel,145.0,60.1,2.0
449, 5 Series,2017,21900.0,Semi-Auto,38649.0,Diesel,145.0,65.7,2.0
450, 3 Series,2019,34900.0,Semi-Auto,4600.0,Diesel,145.0,49.6,2.0
451, 1 Series,2019,22700.0,Semi-Auto,14822.0,Diesel,145.0,60.1,2.0
452, X2,2018,23900.0,Semi-Auto,12887.0,Diesel,145.0,61.4,2.0
455, 4 Series,2019,26800.0,Semi-Auto,7667.0,Diesel,145.0,58.9,2.0
457, X1,2019,25000.0,Manual,3715.0,Diesel,145.0,68.9,2.0
458, X2,2019,27000.0,Automatic,49.0,Diesel,145.0,50.4,2.0
459, 3 Series,2019,32000.0,Automatic,5557.0,Diesel,145.0,49.6,2.0
463, 2 Series,2019,23500.0,Semi-Auto,2664.0,Petrol,145.0,50.4,2.0
465, 4 Series,2018,20500.0,Semi-Auto,6668.0,Diesel,145.0,65.7,2.0
466, 2 Series,2019,20500.0,Automatic,6679.0,Petrol,145.0,47.9,2.0
467, 2 Series,2019,20500.0,Automatic,1689.0,Petrol,145.0,50.4,2.0
472, 2 Series,2019,23500.0,Semi-Auto,2164.0,Diesel,145.0,49.6,2.0
476, 2 Series,2019,24000.0,Automatic,477.0,Petrol,145.0,47.9,2.0
477, 5 Series,2019,30000.0,Automatic,10654.0,Diesel,145.0,60.1,2.0
478, X2,2019,29000.0,Automatic,2472.0,Diesel,145.0,48.7,2.0
482, 2 Series,2019,19750.0,Semi-Auto,9014.0,Diesel,145.0,49.6,2.0
483, 5 Series,2017,21900.0,Semi-Auto,23291.0,Diesel,145.0,65.7,2.0
484, X1,2018,21500.0,Semi-Auto,12710.0,Petrol,145.0,44.8,2.0
491, 3 Series,2019,31000.0,Semi-Auto,1397.0,Diesel,145.0,50.4,2.0
497, 3 Series,2018,17998.0,Semi-Auto,19950.0,Diesel,145.0,65.7,2.0
501, 2 Series,2016,17998.0,Semi-Auto,28099.0,Diesel,145.0,55.4,2.0
505, 5 Series,2019,26498.0,Semi-Auto,16466.0,Diesel,145.0,60.1,2.0
510, X1,2017,19998.0,Semi-Auto,17922.0,Diesel,145.0,55.4,2.0
513, 5 Series,2017,21498.0,Semi-Auto,34296.0,Diesel,145.0,65.7,2.0
520, 1 Series,2019,19298.0,Semi-Auto,10040.0,Diesel,145.0,67.3,2.0
521, 3 Series,2019,26498.0,Semi-Auto,13579.0,Diesel,145.0,48.7,2.0
528, 2 Series,2017,17998.0,Semi-Auto,27997.0,Diesel,145.0,57.6,2.0
531, X1,2016,19498.0,Semi-Auto,19850.0,Diesel,145.0,55.4,2.0
534, 3 Series,2019,23498.0,Semi-Auto,10629.0,Diesel,145.0,57.7,2.0
538, 1 Series,2018,17498.0,Manual,10374.0,Diesel,145.0,49.6,2.0
542, 3 Series,2019,23298.0,Semi-Auto,11326.0,Diesel,145.0,54.3,2.0
546, X1,2016,19498.0,Semi-Auto,20153.0,Diesel,145.0,55.4,2.0
549, X3,2014,15795.0,Semi-Auto,63000.0,Diesel,145.0,54.3,2.0
553, 3 Series,2017,17695.0,Semi-Auto,24909.0,Diesel,145.0,62.8,2.0
558, X3,2016,21000.0,Semi-Auto,24002.0,Diesel,145.0,54.3,2.0
563, 4 Series,2017,19498.0,Semi-Auto,28912.0,Diesel,145.0,65.7,2.0
564, 5 Series,2017,20998.0,Semi-Auto,21068.0,Diesel,145.0,62.8,2.0
567, 4 Series,2017,17410.0,Automatic,37842.0,Diesel,145.0,65.7,2.0
568, 2 Series,2016,18498.0,Semi-Auto,18245.0,Diesel,145.0,55.4,2.0
569, 3 Series,2018,22998.0,Semi-Auto,16360.0,Diesel,145.0,57.7,2.0
570, 3 Series,2019,26698.0,Semi-Auto,8273.0,Diesel,145.0,48.7,2.0
573, 3 Series,2019,23498.0,Semi-Auto,7516.0,Diesel,145.0,54.3,2.0
574, 4 Series,2019,21998.0,Semi-Auto,17740.0,Diesel,145.0,65.7,2.0
575, 3 Series,2019,27298.0,Semi-Auto,8319.0,Diesel,145.0,48.7,2.0
576, 3 Series,2019,26498.0,Semi-Auto,18526.0,Diesel,145.0,48.7,2.0
580, 1 Series,2018,17498.0,Semi-Auto,17063.0,Petrol,145.0,36.7,2.0
583, X1,2016,19998.0,Semi-Auto,21621.0,Diesel,145.0,55.4,2.0
593, 4 Series,2017,19498.0,Semi-Auto,16463.0,Diesel,145.0,65.7,2.0
595, 5 Series,2018,24498.0,Semi-Auto,15032.0,Diesel,145.0,68.9,2.0
596, X1,2016,18498.0,Semi-Auto,28813.0,Diesel,145.0,55.4,2.0
608, 3 Series,2019,21998.0,Semi-Auto,7237.0,Diesel,145.0,60.1,2.0
609, 3 Series,2019,26998.0,Semi-Auto,15002.0,Diesel,145.0,48.7,2.0
610, 5 Series,2018,25998.0,Semi-Auto,19479.0,Diesel,145.0,46.3,2.0
611, 3 Series,2019,22898.0,Automatic,12249.0,Diesel,145.0,62.8,2.0
613, 3 Series,2018,20998.0,Semi-Auto,28180.0,Petrol,145.0,48.7,2.0
632, 2 Series,2018,18498.0,Semi-Auto,7202.0,Petrol,145.0,38.2,2.0
633, 5 Series,2017,22498.0,Semi-Auto,19864.0,Diesel,145.0,65.7,2.0
639, X3,2019,35998.0,Semi-Auto,2451.0,Diesel,145.0,54.3,2.0
641, X2,2019,24998.0,Manual,4174.0,Diesel,145.0,48.7,2.0
642, 5 Series,2019,26898.0,Semi-Auto,4917.0,Diesel,145.0,65.7,2.0
646, 3 Series,2019,29998.0,Semi-Auto,10171.0,Petrol,145.0,41.5,2.0
649, 3 Series,2019,27498.0,Semi-Auto,14793.0,Diesel,145.0,48.7,2.0
650, X1,2016,18998.0,Semi-Auto,20259.0,Diesel,145.0,55.4,2.0
656, 3 Series,2019,35998.0,Semi-Auto,9632.0,Diesel,145.0,49.6,2.0
662, 4 Series,2019,21998.0,Semi-Auto,16616.0,Diesel,145.0,65.7,2.0
667, X1,2016,19998.0,Automatic,13085.0,Diesel,145.0,55.4,2.0
668, 3 Series,2018,19998.0,Semi-Auto,16159.0,Petrol,145.0,48.7,2.0
669, 4 Series,2017,17998.0,Automatic,43111.0,Diesel,145.0,65.7,2.0
670, 4 Series,2017,21998.0,Automatic,13941.0,Petrol,145.0,48.7,2.0
671, 4 Series,2017,19998.0,Semi-Auto,13273.0,Diesel,145.0,65.7,2.0
680, 4 Series,2018,20998.0,Semi-Auto,23358.0,Diesel,145.0,65.7,2.0
682, 4 Series,2018,21998.0,Semi-Auto,15600.0,Diesel,145.0,65.7,2.0
687, 4 Series,2017,19998.0,Semi-Auto,8333.0,Petrol,145.0,48.7,2.0
692, 3 Series,2017,14050.0,Manual,20829.0,Petrol,145.0,48.7,2.0
699, 2 Series,2017,15750.0,Semi-Auto,18652.0,Diesel,145.0,65.7,2.0
701, 1 Series,2018,13295.0,Manual,18712.0,Diesel,145.0,50.4,2.0
707, 3 Series,2017,18995.0,Semi-Auto,23505.0,Diesel,145.0,64.2,2.0
711, X1,2017,18998.0,Semi-Auto,32217.0,Diesel,145.0,55.4,2.0
716, 1 Series,2019,19498.0,Semi-Auto,9739.0,Diesel,145.0,67.3,2.0
720, 3 Series,2019,29998.0,Semi-Auto,8765.0,Petrol,145.0,41.5,2.0
727, 3 Series,2019,28898.0,Semi-Auto,1250.0,Petrol,145.0,42.2,2.0
730, 1 Series,2017,17498.0,Semi-Auto,17640.0,Diesel,145.0,65.7,2.0
732, 3 Series,2017,17998.0,Semi-Auto,32000.0,Diesel,145.0,62.8,2.0
736, 4 Series,2019,21998.0,Semi-Auto,11032.0,Diesel,145.0,65.7,2.0
739, 5 Series,2017,23998.0,Semi-Auto,13970.0,Diesel,145.0,65.7,2.0
742, X1,2017,19498.0,Semi-Auto,18798.0,Diesel,145.0,55.4,2.0
743, 2 Series,2017,15998.0,Semi-Auto,30330.0,Diesel,145.0,64.2,2.0
744, 4 Series,2018,19498.0,Semi-Auto,27198.0,Diesel,145.0,65.7,2.0
745, 1 Series,2017,14498.0,Manual,28831.0,Diesel,145.0,65.7,2.0
755, 3 Series,2019,23498.0,Automatic,9117.0,Diesel,145.0,54.3,2.0
758, X4,2016,21995.0,Automatic,38900.0,Diesel,145.0,54.3,2.0
760, 3 Series,2015,15195.0,Semi-Auto,56000.0,Diesel,145.0,56.5,2.0
762, X2,2019,23890.0,Semi-Auto,5743.0,Petrol,145.0,38.7,2.0
766, 5 Series,2017,24498.0,Semi-Auto,20657.0,Diesel,145.0,60.1,2.0
783, 3 Series,2019,29998.0,Semi-Auto,10035.0,Petrol,145.0,41.5,2.0
785, 2 Series,2019,23898.0,Automatic,6375.0,Diesel,145.0,61.4,2.0
788, X2,2019,27898.0,Semi-Auto,3770.0,Diesel,145.0,50.4,2.0
800, 5 Series,2019,26798.0,Semi-Auto,16128.0,Diesel,145.0,60.1,2.0
801, 3 Series,2019,32995.0,Manual,612.0,Diesel,145.0,54.3,2.0
